dataset,status,source_used,date_range_found,universe_size,storage_format,adjustment_pit,quality_checks,daily_job,evidence_paths
Block deals,DONE,"MICCV2 seed block_deals 12430 rows + NSE block.csv CONFIRMED_FORWARD_ONLY",2006-01-16 -> 2026-07-08 (seed),see above,parquet -> same tables,same as bulk,reconcile expect_block_deals 12430,yes,"configs/sources.yml:70; docs/DATA_INVENTORY.md group 1"
BSE bulk/block deals,MISSING,"BSE /api/BulkDeal/w returns 301 to an error page",n/a,0,none,n/a,route probed and recorded UNPROVEN,no,"configs/sources.yml:89,104 status UNPROVEN; src/monitor/status.py:418"
Short selling,PARTIAL,MICCV2 seed short_deals 38028 rows,2018-01-01 -> 2026-07-07,n/a,parquet in seed only,not in built warehouse,none found,no,"docs/DATA_INVENTORY.md group 1 short_deals"
Shareholding patterns,PARTIAL,"MICCV2 seed shp_* 5 tables ~7.2M rows; live route UNPROVEN",no span recorded,n/a,parquet in seed only,"not PIT-reconstructed; shareholding_history 9913 rows",none found,no,"docs/DATA_INVENTORY.md group 1 shp_filing/shp_institutional_summary; configs/sources.yml:147 UNPROVEN"
Fundamentals / results,PARTIAL,"MICCV2 seed fundamentals_pit 71436 + annual/quarterly income/balance/cashflow",2002-03-01 -> 2026-03-31,n/a,parquet in seed only,fundamentals_pit is labelled PIT,none found,no,"docs/DATA_INVENTORY.md group 1"
Macro (CPI GDP IIP rates),PARTIAL,"seed india_macro_fred 1854 + rbi_monetary_data 1135 + world_bank_macro 747 + us_macro_data 58010",1919-01-01 -> 2026-05-01,n/a,parquet in seed only,n/a,none found,no,"docs/DATA_INVENTORY.md group 1"
USDINR / currency,MISSING,none,n/a,0,none,n/a,n/a,no,"grep usdinr across configs/ src/ docs/DATA_INVENTORY.md returns nothing"
Commodities,MISSING,none,n/a,0,none,n/a,n/a,no,"grep commodit/mcx across configs/ src/ returns nothing"
F&O bhavcopy / options,PARTIAL,"MICCV2 seed fo_data 69193526 + v1_increments fno 105422837; UDiFF collected forward",2005-01-03 -> 2026-08-14,n/a,parquet -> fno_spine 174272768 rows 2.06 GB,n/a,"reconcile expect_fno_rows 174272768 after the 0029 double-count correction","collected but NOT parsed: UDiFF columns unmapped","src/warehouse/spine.py:96; src/archive/derivatives.py; configs/universe.yml expect_fno_rows; commit 472dfa8"
Option greeks / gamma / PCR,PARTIAL,"seed option_greeks_raw 3224284 + gamma_exposure_daily 3224284 + options_pcr_daily 263312",2005-01-03 -> 2026-07-07,n/a,parquet in seed only,not in built warehouse,none found,no,"docs/DATA_INVENTORY.md group 1"
Mutual fund portfolios,PARTIAL,"seed mf_nav_history 36915679 + mf_scheme_master 14212 + mf_industry_monthly 5568; holdings deferred",2006-04-01 -> 2026-07-07,14212 schemes,parquet in seed only,NAV only - no portfolio holdings,none found,no,"docs/DATA_INVENTORY.md group 1; configs/sources.yml:166 mf_scheme_holdings deferred"
Trading calendar / holidays,DONE,"observed from price data, never generated; salvaged trading_calendar 5339 rows",2005-01-03 -> 2026-09-10,5339 sessions,DuckDB + derived,"observed only - 3 Saturdays a generated calendar would drop","reconcile expect_trading_sessions 5339; NO_SESSION recorded once and never re-probed",yes,"src/common/calendar.py:1-12; configs/universe.yml; src/archive/prices.py:171-191"
Insider trading (SAST/PIT disclosures),PARTIAL,"seed insider_trading 283281 rows + NSE direct 1249 rows since 2026-08-17",2016-01-01 -> 2026-07-07,n/a,parquet,available_from logic applied,src/research/insider_power.py exists,yes,"src/ingest/insider.py; src/archive/insider.py; docs/DATA_INVENTORY.md group 3"
Sector classification (point-in-time),BROKEN,"declared source sector_history; table holds 0 rows",n/a,0,DuckDB table empty,"universe.yml declares PIT sectors from sector_history - table is empty","ENTITY_VERDICT.md records sector_history as IMPOSSIBLE per decision 0057",no,"docs/DATA_INVENTORY.md group 6 sector_history 0 rows; configs/universe.yml sectors.source: sector_history"
Seasonality cells,MISSING,"seed seasonality_atlas 31893556 rows carried for validation only",n/a,0 built,DuckDB table empty,n/a,"no writer exists - only status.py reads the row count",no,"grep seasonality_cell src/ matches only src/monitor/status.py:651-660; docs/DATA_INVENTORY.md group 6 seasonality_cell 0 rows"
Participant aliases / client canonicalization,MISSING,none,n/a,0,DuckDB table empty,n/a,"src/research/entity_names.py is a 60-line counting-grade normalizer, explicitly NOT step 3.6",no,"docs/DATA_INVENTORY.md group 6 participant_aliases 0 rows; src/research/entity_names.py:3"
